Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
20,Fri,2021-03-05,20:30,Wisła Kraków,0–0,Górnik Zabrze,,Stadion Miejski im. Henryka Reymana,Mariusz Zlotek,Match Report,
20,Sat,2021-03-06,15:00,Podbeskidzie,2–2,Lechia Gdańsk,,Stadion Miejski BKS Stal,Zbigniew Dobrynin,Match Report,
20,Sat,2021-03-06,17:30,Zagłębie Lubin,3–0,Jagiellonia,,Stadion Zagłębia Lubin,Paweł Raczkowski,Match Report,
20,Sat,2021-03-06,20:00,RKS Raków,0–0,Cracovia,,Stadion GKS-u,Jarosław Przybył,Match Report,
20,Sun,2021-03-07,12:30,Piast Gliwice,2–1,Stal Mielec,,Stadion Miejski,Damian Kos,Match Report,
20,Sun,2021-03-07,15:00,Pogoń Szczecin,0–1,Lech Poznań,,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
20,Sun,2021-03-07,17:30,Śląsk Wrocław,0–1,Legia Warsaw,,Stadion Miejski,Sebastian Jarzębak,Match Report,
20,Mon,2021-03-08,18:00,Warta Poznań,2–0,Wisła Płock,,Stadion Groclinu Dyskobolii,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,
21,Fri,2021-03-12,18:00,Cracovia,1–1,Śląsk Wrocław,,Stadion Cracovii,Łukasz Szczech,Match Report,
21,Fri,2021-03-12,20:30,Jagiellonia,0–1,Pogoń Szczecin,,Stadion Miejski,Damian Sylwestrzak,Match Report,
21,Sat,2021-03-13,15:00,Wisła Płock,2–2,RKS Raków,,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
21,Sat,2021-03-13,17:30,Lechia Gdańsk,2–0,Wisła Kraków,,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
21,Sat,2021-03-13,20:00,Legia Warsaw,3–2,Warta Poznań,,Stadion Miejski Legii Warszawa im. Marsz...,Piotr Lasyk,Match Report,
21,Sun,2021-03-14,15:00,Górnik Zabrze,2–0,Zagłębie Lubin,,Arena Zabrze,Wojciech Myć,Match Report,
21,Sun,2021-03-14,17:30,Lech Poznań,0–0,Piast Gliwice,,INEA stadion,Tomasz Kwiatkowski,Match Report,
21,Mon,2021-03-15,18:00,Stal Mielec,2–1,Podbeskidzie,,Stadion MOSiR,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,
22,Fri,2021-03-19,18:00,Piast Gliwice,2–0,Cracovia,,Stadion Miejski,Bartosz Frankowski,Match Report,
22,Fri,2021-03-19,20:30,Pogoń Szczecin,1–0,Lechia Gdańsk,,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
22,Sat,2021-03-20,15:00,Śląsk Wrocław,0–0,Wisła Płock,,Stadion Miejski,Daniel Stefański,Match Report,
22,Sat,2021-03-20,17:30,RKS Raków,0–0,Górnik Zabrze,,Stadion GKS-u,Damian Kos,Match Report,
22,Sat,2021-03-20,20:00,Lech Poznań,2–3,Jagiellonia,,INEA stadion,Szymon Marciniak,Match Report,
22,Sun,2021-03-21,12:30,Warta Poznań,2–0,Podbeskidzie,,Stadion Groclinu Dyskobolii,Łukasz Kuźma,Match Report,
22,Sun,2021-03-21,15:00,Wisła Kraków,3–1,Stal Mielec,,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
22,Sun,2021-03-21,17:30,Zagłębie Lubin,0–4,Legia Warsaw,,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
,,,,,,,,,,,
23,Sat,2021-04-03,12:30,Wisła Płock,0–1,Piast Gliwice,,Stadion im. Kazimierza Górskiego,Damian Kos,Match Report,
23,Sat,2021-04-03,17:30,Legia Warsaw,4–2,Pogoń Szczecin,,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
23,Sat,2021-04-03,20:00,Cracovia,2–1,Lech Poznań,,Stadion Cracovii,Damian Sylwestrzak,Match Report,
23,Mon,2021-04-05,12:30,Górnik Zabrze,1–2,Warta Poznań,,Arena Zabrze,Paweł Raczkowski,Match Report,
23,Mon,2021-04-05,15:00,Podbeskidzie,2–0,Wisła Kraków,,Stadion Miejski BKS Stal,Daniel Stefański,Match Report,
23,Mon,2021-04-05,17:30,Jagiellonia,0–1,Śląsk Wrocław,,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
23,Mon,2021-04-05,20:00,Lechia Gdańsk,3–1,Zagłębie Lubin,,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,
24,Fri,2021-04-09,18:00,Jagiellonia,2–1,Cracovia,,Stadion Miejski,Paweł Gil,Match Report,
24,Fri,2021-04-09,20:30,Wisła Kraków,1–2,RKS Raków,,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
24,Sat,2021-04-10,15:00,Pogoń Szczecin,2–0,Wisła Płock,,Stadion Miejski im. Floriana Krygiera,Łukasz Kuźma,Match Report,
24,Sat,2021-04-10,17:30,Warta Poznań,0–0,Stal Mielec,,Stadion Groclinu Dyskobolii,Tomasz Kwiatkowski,Match Report,
24,Sat,2021-04-10,20:00,Śląsk Wrocław,1–1,Lechia Gdańsk,,Stadion Miejski,Piotr Lasyk,Match Report,
24,Sun,2021-04-11,15:00,Zagłębie Lubin,2–1,Podbeskidzie,,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
24,Sun,2021-04-11,17:30,Lech Poznań,0–0,Legia Warsaw,,INEA stadion,Bartosz Frankowski,Match Report,
