Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,10,Mon,2017-09-25,18:00,Cracovia,1–3,Wisła Płock,4803,Stadion Cracovii,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2017-09-29,18:00,Nowy Sącz,1–1,Śląsk Wrocław,1341,Stadion im. Ojca Władysława Augustynka,Mariusz Zlotek,Match Report,
Regular Season,11,Fri,2017-09-29,20:30,Arka Gdynia,1–1,Cracovia,8541,Stadion GOSiR,Łukasz Szczech,Match Report,
Regular Season,11,Sat,2017-09-30,15:30,Lechia Gdańsk,1–0,Zagłębie Lubin,9399,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,11,Sat,2017-09-30,18:00,Pogoń Szczecin,0–0,Korona Kielce,5595,Stadion Miejski im. Floriana Krygiera,Zbigniew Dobrynin,Match Report,
Regular Season,11,Sat,2017-09-30,20:30,Wisła Kraków,0–0,Jagiellonia,11056,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,11,Sun,2017-10-01,15:30,Górnik Zabrze,1–0,Piast Gliwice,22708,Arena Zabrze,Piotr Lasyk,Match Report,
Regular Season,11,Sun,2017-10-01,15:30,Wisła Płock,1–0,Nieciecza,4898,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,11,Sun,2017-10-01,18:00,Lech Poznań,3–0,Legia Warsaw,36829,INEA stadion,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2017-10-13,18:00,Korona Kielce,2–0,Wisła Płock,6069,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
Regular Season,12,Fri,2017-10-13,20:30,Jagiellonia,1–1,Lech Poznań,12156,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,12,Sat,2017-10-14,15:30,Piast Gliwice,2–2,Nowy Sącz,4248,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,12,Sat,2017-10-14,18:00,Nieciecza,1–1,Arka Gdynia,2155,Stadion Bruk-Bet,Mariusz Zlotek,Match Report,
Regular Season,12,Sat,2017-10-14,20:30,Śląsk Wrocław,0–2,Wisła Kraków,21503,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,12,Sun,2017-10-15,15:30,Zagłębie Lubin,3–2,Górnik Zabrze,11256,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,12,Sun,2017-10-15,18:00,Legia Warsaw,1–0,Lechia Gdańsk,18574,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,12,Mon,2017-10-16,18:00,Cracovia,3–0,Pogoń Szczecin,5759,Stadion Cracovii,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2017-10-20,18:00,Zagłębie Lubin,2–2,Piast Gliwice,6021,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,13,Fri,2017-10-20,20:30,Górnik Zabrze,3–3,Korona Kielce,22708,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
Regular Season,13,Sat,2017-10-21,15:30,Nowy Sącz,1–1,Cracovia,2983,Stadion im. Ojca Władysława Augustynka,Yusuke Araki,Match Report,
Regular Season,13,Sat,2017-10-21,18:00,Pogoń Szczecin,2–3,Nieciecza,3146,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,13,Sat,2017-10-21,20:30,Lechia Gdańsk,3–3,Lech Poznań,13493,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,13,Sun,2017-10-22,15:30,Arka Gdynia,4–1,Jagiellonia,11097,Stadion GOSiR,Jarosław Przybył,Match Report,
